URL	Question	Option A	Option B	Option C	Option D	Prompt	GT	GenR
https://cwe.mitre.org/data/definitions/363.html	Which related attack pattern involves exploiting the vulnerability described in CWE-363?	CAPEC-123	CAPEC-56	CAPEC-76	CAPEC-26	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which related attack pattern involves exploiting the vulnerability described in CWE-363?  **Options:** A) CAPEC-123 B) CAPEC-56 C) CAPEC-76 D) CAPEC-26  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D	D
https://attack.mitre.org/techniques/T1420/	Which MITRE ATT&CK procedure example can search for specific file types such as .pdf, .doc, and .xls for exfiltration?	S0505 - Desert Scorpion	S0577 - FrozenCell	S0529 - CarbonSteal	C0016 - Operation Dust Storm	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which MITRE ATT&CK procedure example can search for specific file types such as .pdf, .doc, and .xls for exfiltration?  **Options:** A) S0505 - Desert Scorpion B) S0577 - FrozenCell C) S0529 - CarbonSteal D) C0016 - Operation Dust Storm  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	C
https://cwe.mitre.org/data/definitions/768.html	When addressing CWE-768, which phase is explicitly mentioned as critical for implementing mitigations?	Requirements gathering	Configuration management	Implementation	Testing	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** When addressing CWE-768, which phase is explicitly mentioned as critical for implementing mitigations?  **Options:** A) Requirements gathering B) Configuration management C) Implementation D) Testing  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	D
https://attack.mitre.org/techniques/T1643/	T1643 (Generate Traffic from Victim) pertains to which MITRE ATT&CK tactic?	Collection	Credential Access	Impact	Execution	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** T1643 (Generate Traffic from Victim) pertains to which MITRE ATT&CK tactic?  **Options:** A) Collection B) Credential Access C) Impact D) Execution  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	D
https://attack.mitre.org/techniques/T0879	Regarding MITRE ATT&CK technique T0879 (Damage to Property) for ICS, which mitigation approach focuses on ensuring devices only communicate with authorized systems?	M0805: Mechanical Protection Layers	M0807: Network Allowlists	M0812: Safety Instrumented Systems	M0809: Secure Network Architectures	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Regarding MITRE ATT&CK technique T0879 (Damage to Property) for ICS, which mitigation approach focuses on ensuring devices only communicate with authorized systems?  **Options:** A) M0805: Mechanical Protection Layers B) M0807: Network Allowlists C) M0812: Safety Instrumented Systems D) M0809: Secure Network Architectures  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	D
GDPR_part1.txt	What is a key requirement under GDPR Article 15 when a data subject requests access to their personal data?	Provide a list of all third-party recipients of their data.	Provide the data subject with a copy of their personal data and certain specific information.	Inform the data subject about future processing plans.	Delete the data subject's personal data immediately.	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is a key requirement under GDPR Article 15 when a data subject requests access to their personal data?  **Options:** A) Provide a list of all third-party recipients of their data. B) Provide the data subject with a copy of their personal data and certain specific information. C) Inform the data subject about future processing plans. D) Delete the data subject's personal data immediately.  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	C
https://attack.mitre.org/techniques/T1426/	What type of information can AbstractEmu collect from a device?	Device location	Model, OS version, serial number, telephone number	Email content	User contacts	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What type of information can AbstractEmu collect from a device?  **Options:** A) Device location B) Model, OS version, serial number, telephone number C) Email content D) User contacts  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	B
https://attack.mitre.org/techniques/T1531/	Which data component should be monitored to detect unexpected deletions of user accounts associated with T1531 (Account Access Removal) under the tactic of Impact?	Active Directory Object Modification	Process Creation	File Creation	User Account Deletion	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which data component should be monitored to detect unexpected deletions of user accounts associated with T1531 (Account Access Removal) under the tactic of Impact?  **Options:** A) Active Directory Object Modification B) Process Creation C) File Creation D) User Account Deletion  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D	A
http://capec.mitre.org/data/definitions/48.html	One key prerequisite for a successful CAPEC-48 attack is:	The presence of an open debugging port on the server	The client's software does not differentiate between URL and local file inputs	The use of outdated cryptographic protocols on the server	Weak password policies	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** One key prerequisite for a successful CAPEC-48 attack is:  **Options:** A) The presence of an open debugging port on the server B) The client's software does not differentiate between URL and local file inputs C) The use of outdated cryptographic protocols on the server D) Weak password policies  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	A
http://capec.mitre.org/data/definitions/92.html	Which CWE is most directly associated with the forced integer overflow described in CAPEC-92?	CWE-120	CWE-190	CWE-122	CWE-196	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which CWE is most directly associated with the forced integer overflow described in CAPEC-92?  **Options:** A) CWE-120 B) CWE-190 C) CWE-122 D) CWE-196  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	C
https://attack.mitre.org/techniques/T1548/004/	Which of the following mitigation techniques is recommended to reduce the risk associated with T1548.004 on macOS?	Network segmentation to isolate critical systems	Disabling unused system services	Preventing execution of applications not downloaded from the Apple Store	Regularly updating operating systems and applications	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following mitigation techniques is recommended to reduce the risk associated with T1548.004 on macOS?  **Options:** A) Network segmentation to isolate critical systems B) Disabling unused system services C) Preventing execution of applications not downloaded from the Apple Store D) Regularly updating operating systems and applications  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	D
https://cwe.mitre.org/data/definitions/468.html	Which mitigation strategy is recommended during the implementation phase for CWE-468?	Refactoring code to a higher-level language	Implementing array indexing instead of direct pointer manipulation	Using dynamic memory allocation techniques	Introducing stricter type-checking mechanisms on function inputs	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation strategy is recommended during the implementation phase for CWE-468?  **Options:** A) Refactoring code to a higher-level language B) Implementing array indexing instead of direct pointer manipulation C) Using dynamic memory allocation techniques D) Introducing stricter type-checking mechanisms on function inputs  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	A
https://attack.mitre.org/techniques/T0848	Which mitigation strategy from the MITRE ATT&CK framework (ICS platform) would help enforce communication authenticity between devices that cannot inherently support it?	M0807, Network Allowlists	M0802, Communication Authenticity	M0937, Filter Network Traffic	M0930, Network Segmentation	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation strategy from the MITRE ATT&CK framework (ICS platform) would help enforce communication authenticity between devices that cannot inherently support it?  **Options:** A) M0807, Network Allowlists B) M0802, Communication Authenticity C) M0937, Filter Network Traffic D) M0930, Network Segmentation  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	B
https://attack.mitre.org/techniques/T1134/005/	Which of the following techniques is associated with the ID T1134.005 in the context of MITRE ATT&CK?	Access Token Manipulation: SID-History Injection	Process Hollowing: Injected Execution	Manipulation of Writing Permissions: ACL-Busting	Remote Access: Credential Dumping	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following techniques is associated with the ID T1134.005 in the context of MITRE ATT&CK?  **Options:** A) Access Token Manipulation: SID-History Injection B) Process Hollowing: Injected Execution C) Manipulation of Writing Permissions: ACL-Busting D) Remote Access: Credential Dumping  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A	D
https://attack.mitre.org/techniques/T1550/001/	Which tactic does MITRE ATT&CK technique T1550.001 pertain to?	Initial Access	Persistence	Defense Evasion		You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which tactic does MITRE ATT&CK technique T1550.001 pertain to?  **Options:** A) Initial Access B) Persistence C) Defense Evasion D) nan  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	D
https://attack.mitre.org/techniques/T1082/	Which network device command might adversaries use to obtain system information, particularly version details (MITRE ATT&CK T1082)?	show system	show devices	show version	list version	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which network device command might adversaries use to obtain system information, particularly version details (MITRE ATT&CK T1082)?  **Options:** A) show system B) show devices C) show version D) list version  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	C
https://attack.mitre.org/techniques/T0889	What is the primary tactic associated with the MITRE ATT&CK technique T0889?	Defense Evasion	Collection	Credential Access	Persistence	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is the primary tactic associated with the MITRE ATT&CK technique T0889?  **Options:** A) Defense Evasion B) Collection C) Credential Access D) Persistence  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D	A
https://attack.mitre.org/techniques/T1421/	During which adversarial behavior did PROMETHIUM use StrongPity to collect information regarding available Wi-Fi networks?	A. S0405 (Exodus)	B. S0509 (FakeSpy)	C. C0033	D. S0407 (Monokle)	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** During which adversarial behavior did PROMETHIUM use StrongPity to collect information regarding available Wi-Fi networks?  **Options:** A) A. S0405 (Exodus) B) B. S0509 (FakeSpy) C) C. C0033 D) D. S0407 (Monokle)  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	D
https://cwe.mitre.org/data/definitions/585.html	According to CWE-585, what is the primary risk associated with having an empty synchronized block?	The block will result in a runtime error.	The block may cause a denial-of-service (DoS) attack.	The block ensures exclusive access but does nothing to protect subsequent code from modifications.	The block may prevent the use of other parallel threads.	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** According to CWE-585, what is the primary risk associated with having an empty synchronized block?  **Options:** A) The block will result in a runtime error. B) The block may cause a denial-of-service (DoS) attack. C) The block ensures exclusive access but does nothing to protect subsequent code from modifications. D) The block may prevent the use of other parallel threads.  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	B
https://attack.mitre.org/techniques/T1583/003/	Within the MITRE ATT&CK framework targeting the tactic of Resource Development, which adversary group has utilized VPS hosting providers in targeting their victims? (ID: T1583.003 - Acquire Infrastructure: Virtual Private Server)	G0007 - APT28	G0001 - Axiom	C0032 - TEMP.Veles	G0035 - Dragonfly	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Within the MITRE ATT&CK framework targeting the tactic of Resource Development, which adversary group has utilized VPS hosting providers in targeting their victims? (ID: T1583.003 - Acquire Infrastructure: Virtual Private Server)  **Options:** A) G0007 - APT28 B) G0001 - Axiom C) C0032 - TEMP.Veles D) G0035 - Dragonfly  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	C
https://cwe.mitre.org/data/definitions/586.html	What is a potential consequence of calling the finalize() method explicitly in Java, as described in CWE-586?	Improved performance	Security vulnerability	Unexpected application state	Enhanced memory management	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is a potential consequence of calling the finalize() method explicitly in Java, as described in CWE-586?  **Options:** A) Improved performance B) Security vulnerability C) Unexpected application state D) Enhanced memory management  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	C
https://attack.mitre.org/techniques/T1554/	Which of the following groups has modified legitimate binaries and scripts for Pulse Secure VPNs to achieve persistent access?	A. APT3	B. APT5	C. APT10	D. APT28	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following groups has modified legitimate binaries and scripts for Pulse Secure VPNs to achieve persistent access?  **Options:** A) A. APT3 B) B. APT5 C) C. APT10 D) D. APT28  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	D
https://attack.mitre.org/techniques/T1218/002/	Which mitigation strategy suggested for T1218.002 involves blocking potentially malicious .cpl files?	Execution Prevention (M1038)	Restrict File and Directory Permissions (M1022)	Software Restriction Policies (M1040)	Disable Autoruns (M1030)	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation strategy suggested for T1218.002 involves blocking potentially malicious .cpl files?  **Options:** A) Execution Prevention (M1038) B) Restrict File and Directory Permissions (M1022) C) Software Restriction Policies (M1040) D) Disable Autoruns (M1030)  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A	B
https://cwe.mitre.org/data/definitions/404.html	Which phase includes the mitigation strategy of ensuring all resources allocated are freed consistently, especially in error conditions?	Design	Implementation	Testing	Deployment	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which phase includes the mitigation strategy of ensuring all resources allocated are freed consistently, especially in error conditions?  **Options:** A) Design B) Implementation C) Testing D) Deployment  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	B
https://attack.mitre.org/techniques/T1007/	During detection, which of the following API calls should be monitored for System Service Discovery (T1007)?	A. CreateFile	B. QueryServiceStatusEx	C. RegQueryValueEx	D. VirtualAlloc	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** During detection, which of the following API calls should be monitored for System Service Discovery (T1007)?  **Options:** A) A. CreateFile B) B. QueryServiceStatusEx C) C. RegQueryValueEx D) D. VirtualAlloc  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	B
https://attack.mitre.org/techniques/T1641/001/	Which malware has been known to manipulate clipboard data to replace cryptocurrency addresses as per MITRE ATT&CK technique T1641.001?	S1094 - BRATA	S1062 - S.O.V.A.	S1059 - BankBot	S1061 - Joker	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which malware has been known to manipulate clipboard data to replace cryptocurrency addresses as per MITRE ATT&CK technique T1641.001?  **Options:** A) S1094 - BRATA B) S1062 - S.O.V.A. C) S1059 - BankBot D) S1061 - Joker  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	D
https://attack.mitre.org/techniques/T1586/002/	Which group has been reported to compromise email accounts to take control of dormant accounts according to MITRE ATT&CK technique T1586.002?	APT28	IndigoZebra	APT29	Magic Hound	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which group has been reported to compromise email accounts to take control of dormant accounts according to MITRE ATT&CK technique T1586.002?  **Options:** A) APT28 B) IndigoZebra C) APT29 D) Magic Hound  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	C
https://attack.mitre.org/techniques/T1033/	Which adversary group used the whoami command and WMIEXEC utility to identify usernames on remote machines according to T1033?	Dragonfly	APT41	Magic Hound	Lazarus Group	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which adversary group used the whoami command and WMIEXEC utility to identify usernames on remote machines according to T1033?  **Options:** A) Dragonfly B) APT41 C) Magic Hound D) Lazarus Group  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	D
https://attack.mitre.org/techniques/T1030/	Which attack pattern under T1030 exfiltrates data in compressed chunks if a message is larger than 4096 bytes?	Mythic	Cobalt Strike	Carbanak	ObliqueRAT	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which attack pattern under T1030 exfiltrates data in compressed chunks if a message is larger than 4096 bytes?  **Options:** A) Mythic B) Cobalt Strike C) Carbanak D) ObliqueRAT  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	D
https://attack.mitre.org/techniques/T1546/001/	What specific technique does SILENTTRINITY utilize as part of its UAC bypass process according to T1546.001 for the MITRE ATT&CK Enterprise platform?	Image Hijack of an .msc file extension	Service File Permissions Weakness	Change Default File Association with .txt file	Change of .exe to .bat file association	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What specific technique does SILENTTRINITY utilize as part of its UAC bypass process according to T1546.001 for the MITRE ATT&CK Enterprise platform?  **Options:** A) Image Hijack of an .msc file extension B) Service File Permissions Weakness C) Change Default File Association with .txt file D) Change of .exe to .bat file association  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A	A
https://attack.mitre.org/techniques/T1133/	Which mitigation strategy involves using strong two-factor or multi-factor authentication for remote service accounts? (Technique ID: T1133, External Remote Services, Enterprise)	Network Segmentation	Disable or Remove Feature or Program	Multi-factor Authentication	Limit Access to Resource Over Network	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation strategy involves using strong two-factor or multi-factor authentication for remote service accounts? (Technique ID: T1133, External Remote Services, Enterprise)  **Options:** A) Network Segmentation B) Disable or Remove Feature or Program C) Multi-factor Authentication D) Limit Access to Resource Over Network  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	C
https://cwe.mitre.org/data/definitions/156.html	In the context of CWE-156, what is the primary technical impact of not properly neutralizing whitespace elements?	Data Breach	Privilege Escalation	Unexpected State	Denial of Service	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of CWE-156, what is the primary technical impact of not properly neutralizing whitespace elements?  **Options:** A) Data Breach B) Privilege Escalation C) Unexpected State D) Denial of Service  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	D
http://capec.mitre.org/data/definitions/90.html	What is the main consequence of a successful reflection attack?	Description of attacks' mechanics.	Gaining illegitimate access to the system.	Client-server protocol optimization.	Disabling encryption on the server.	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is the main consequence of a successful reflection attack?  **Options:** A) Description of attacks' mechanics. B) Gaining illegitimate access to the system. C) Client-server protocol optimization. D) Disabling encryption on the server.  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	C
https://attack.mitre.org/techniques/T1616/	Which malware is capable of making phone calls and displaying a fake call screen?	Monokle	Anubis	Fakecalls	BusyGasper	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which malware is capable of making phone calls and displaying a fake call screen?  **Options:** A) Monokle B) Anubis C) Fakecalls D) BusyGasper  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	A
https://attack.mitre.org/techniques/T1430/	Which Android permission allows an application to access the device's location even when running in the background from Android 10 onwards?	ACCESS_FINE_LOCATION	ACCESS_BACKGROUND_LOCATION	ACCESS_COARSE_LOCATION	ACCESS_BAIDU_LOCATION	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which Android permission allows an application to access the device's location even when running in the background from Android 10 onwards?  **Options:** A) ACCESS_FINE_LOCATION B) ACCESS_BACKGROUND_LOCATION C) ACCESS_COARSE_LOCATION D) ACCESS_BAIDU_LOCATION  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	B
https://attack.mitre.org/techniques/T1428/	Per the MITRE ATT&CK description for T1428, what mitigation can limit internal enterprise resource access via VPN to only approved applications?	Network Segmentation (M1030)	User Training (M1016)	Enterprise Policy (M1012)	Privileged Account Management (M1026)	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Per the MITRE ATT&CK description for T1428, what mitigation can limit internal enterprise resource access via VPN to only approved applications?  **Options:** A) Network Segmentation (M1030) B) User Training (M1016) C) Enterprise Policy (M1012) D) Privileged Account Management (M1026)  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	B
https://attack.mitre.org/techniques/T1595/	In the context of MITRE ATT&CK Enterprise, which of the following is the primary purpose of Active Scanning (T1595)?	To establish command and control channels on the victim's network.	To gather information directly from victim's infrastructure via network traffic.	To deploy malware on the victim's machines.	To perform social engineering attacks on victim personnel.	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of MITRE ATT&CK Enterprise, which of the following is the primary purpose of Active Scanning (T1595)?  **Options:** A) To establish command and control channels on the victim's network. B) To gather information directly from victim's infrastructure via network traffic. C) To deploy malware on the victim's machines. D) To perform social engineering attacks on victim personnel.  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	C
https://cwe.mitre.org/data/definitions/393.html	What is the primary technical impact due to CWE-393?	Information Disclosure	Unexpected System Reboot	Unexpected State	Unauthorized Data Modification	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is the primary technical impact due to CWE-393?  **Options:** A) Information Disclosure B) Unexpected System Reboot C) Unexpected State D) Unauthorized Data Modification  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	B
https://attack.mitre.org/techniques/T1059/009/	Which of the following is a recommended mitigation (M1038) to prevent abuse of cloud APIs through PowerShell CmdLets according to MITRE ATT&CK technique T1059.009 (Command and Scripting Interpreter: Cloud API)?	Disabling command line access	Using application control	Implementing Least Privilege	Using Multi-Factor Authentication	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following is a recommended mitigation (M1038) to prevent abuse of cloud APIs through PowerShell CmdLets according to MITRE ATT&CK technique T1059.009 (Command and Scripting Interpreter: Cloud API)?  **Options:** A) Disabling command line access B) Using application control C) Implementing Least Privilege D) Using Multi-Factor Authentication  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	D
https://attack.mitre.org/techniques/T1037/004/	Which group has been known to add an entry to the rc.common file for persistence? (ID: T1037.004)	APT29	Green Lambert	iKitten	Cyclops Blink	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which group has been known to add an entry to the rc.common file for persistence? (ID: T1037.004)  **Options:** A) APT29 B) Green Lambert C) iKitten D) Cyclops Blink  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	A
https://cwe.mitre.org/data/definitions/47.html	What is a potential consequence of CWE-47 related to path input in the form of leading space without appropriate validation?	Unauthorized read of files	Execution of arbitrary code	Privilege escalation	Denial of service	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is a potential consequence of CWE-47 related to path input in the form of leading space without appropriate validation?  **Options:** A) Unauthorized read of files B) Execution of arbitrary code C) Privilege escalation D) Denial of service  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A	D
https://attack.mitre.org/techniques/T1048/001/	Which detection technique involves monitoring for newly constructed network connections sent or received by untrusted hosts?	DS0017 - Command Execution	DS0022 - File Access	DS0029 - Network Traffic: Network Connection Creation	Data Component: Network Traffic Content	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which detection technique involves monitoring for newly constructed network connections sent or received by untrusted hosts?  **Options:** A) DS0017 - Command Execution B) DS0022 - File Access C) DS0029 - Network Traffic: Network Connection Creation D) Data Component: Network Traffic Content  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	B
