Question	A	B	C	D	Réponse correcte	GenRes
"**Question :**
Quel est l'un des critères pour l'accréditation d'un organisme selon l'article 41 ?

**Choix :**
A. Les procédures de traitement des plaintes sont transparentes.
B. L'organisme n'est pas en conflit d'intérêts.
C. Les mesures prises en cas d'infraction sont appropriées.
D. Les tâches de l'autorité de contrôle sont transférées à l'organisme.

**"	** B					Flagged
"Question : Quelle entité peut émettre une certification de protection des données en vertu de cet article ?
A. Les responsables du traitement des données soumis au Règlement
B. Le Conseil de l'UE
C. Les autorités de contrôle compétentes
D. Les organismes de certification référencés à l'article 43"	D					Flagged
"Question : Qui est responsable d'accréditer les organismes de certification en matière de protection des données ?
A. La Commission européenne
B. Un organisme de certification indépendant
C. L'autorité de surveillance compétente
D. Le Parlement européen"	C					Flagged
"Question :
Selon le texte, quel est l'un des critères requis pour l'accréditation des organismes de certification ?

A. Respect des critères approuvés par l'autorité de surveillance compétente
B. Établissement de procédures pour délivrer et retirer les certifications
C. Démonstration d'un conflit d'intérêts
D. Utilisation de méthodes et procédures décrites dans le règlement CE n° 765/2008"	A					A
"**Question :**

Dans quelles conditions un transfert de données personnelles vers un pays tiers ou une organisation internationale peut-il avoir lieu conformément à l'article 44 ?

A. Si le pays tiers ou l'organisation internationale dispose d'un niveau adéquat de protection des données
B. Si la personne concernée a donné son consentement explicite
C. Si le transfert est nécessaire à l'exécution d'un contrat entre la personne concernée et le responsable du traitement
D. Si la personne concernée bénéficie de garanties appropriées

**"	** A					A
"Question : Dans quelles conditions les transferts de données personnelles sont-ils autorisés vers des pays tiers ?
A. Lorsque la Commission européenne a décidé que le pays tiers assure un niveau de protection adéquat
B. Lorsque le contrôleur et le sous-traitant respectent les conditions énoncées dans le présent chapitre
C. Lorsque le transfert est nécessaire à l'exécution d'un contrat avec la personne concernée
D. Lorsque le transfert est consenti par la personne concernée"	A					A
"Question : Quelle est l'une des conditions pour qu'un pays tiers soit considéré comme ayant un niveau de protection adéquat des données personnelles ?

A. Il doit avoir signé des accords bilatéraux avec l'UE.
B. Il doit avoir adopté une autorité de surveillance indépendante.
C. Il doit avoir ratifié la Convention européenne des droits de l'homme.
D. Il doit être membre d'une organisation internationale de protection des données."	B					B
"Question : Pour transférer des données personnelles vers un pays tiers, quelle condition doit être remplie ?

A. Le consentement du responsable du traitement
B. La présence de mesures de protection appropriées
C. L'autorisation préalable de l'autorité de contrôle
D. L'accord des personnes concernées"	B					B
"Question :  Quelle est une des informations que les règles d'entreprise contraignantes doivent fournir aux personnes concernées ?

A. La responsabilité du responsable du traitement ou du sous-traitant
B. La procédure de plainte
C. Les mesures de sécurité des données
D. L'identité du responsable de la protection des données"	C					A
"Question : Laquelle des clauses suivantes est incluse dans les règles d'entreprise contraignantes ?

A. Mécanismes de vérification des mesures correctives
B. Format d'échange d'informations entre les contrôleurs
C. Liste des superviseurs compétents
D. Procédures de déclaration des transferts de données"	A					A
"Question :  Selon l'Article 49, en l'absence d'une décision d'adéquation ou de garanties appropriées, dans quelles circonstances un transfert de données personnelles vers un pays tiers peut-il avoir lieu ?

A. Avec le consentement explicite du sujet de données
B. Pour l'exécution d'un contrat avec le sujet de données
C. Pour la conclusion d'un contrat dans l'intérêt du sujet de données
D. Toutes les réponses ci-dessus"	D					D
"Question :
Selon le texte, dans quelles conditions un transfert de données vers un pays tiers est-il possible si aucune dérogation n'est applicable ?

A. Si le transfert concerne un nombre illimité de personnes concernées
B. Si le transfert est nécessaire pour des raisons d'intérêt légitime impérieux
C. Si le responsable du traitement a informé l'autorité de contrôle du transfert
D. Si les données transférées sont anonymisées"	B					B
"Question :  Quel est le rôle principal des autorités de contrôle selon le texte ?
A. Faciliter la libre circulation des données personnelles dans l'Union
B. Coopérer avec la Commission pour assurer l'application cohérente du règlement
C. Désigner l'autorité de contrôle qui représentera les autres autorités au sein du Conseil
D. Notifier les dispositions législatives adoptées par chaque État membre à la Commission"	A					B
"Question : Selon l'article 54, quelle instance est chargée d'établir chaque autorité de contrôle ?
A. Le parlement
B. Le gouvernement
C. Le chef de l'État
D. Un organisme indépendant"	D					D
"Question :  Selon le texte, quelle est la condition d'ancienneté minimale pour les membres de chaque autorité de surveillance ?
A. Au moins 2 ans
B. Au moins 4 ans
C. Au moins 6 ans
D. Aucune condition d'ancienneté minimale"	B					A
"**Question :**

Qui est compétent pour traiter une plainte portant uniquement sur un établissement dans son État membre ?

**A.** La seule autorité de contrôle compétente
**B.** L'autorité de contrôle principale
**C.** L'autorité de contrôle qui a reçu la plainte
**D.** Aucune des réponses ci-dessus

**"	** C					A
"Question : Parmi les tâches de l'autorité de contrôle, laquelle consiste à donner des avis sur les traitements mentionnés à l'article 36(2) ?
A. (j)
B. (l)
C. (m)
D. (n)"	B					B
"Question :
Selon l'article 58, quelle autorité peut ordonner au responsable du traitement de fournir des informations ?

A. Autorité législative
B. Autorité de surveillance
C. Autorité judiciaire
D. Autorité administrative"	B					B
"Question : Quelle mesure ne peut PAS être imposée par une autorité de contrôle selon le texte ?
A. Interdire le traitement des données
B. Ordonner la rectification ou l'effacement des données
C. Imposer une amende
D. Autoriser le transfert de données vers un pays tiers"	D					D
"Question : Parmi les pouvoirs énumérés dans le texte, lequel n'est PAS conféré à l'autorité de contrôle ?
A. Délivrer des certifications
B. Adopter des clauses standard de protection des données
C. Amender les règles internes contraignantes
D. Autoriser les clauses contractuelles"	C					C
"**Question :**

Selon le texte, qui doit adopter la décision de rejeter une plainte ?

**A.** La seule autorité de contrôle compétente pour le plaignant
**B.** L'autorité de contrôle principale et les autorités de contrôle concernées
**C.** Le contrôleur ou le sous-traitant concerné
**D.** Le conseil d'administration de l'autorité de contrôle

**"	** A					Flagged
"Question : Quel organisme doit fournir les informations demandées à une autre autorité de contrôle dans un délai d'un mois maximum ?

A. Le responsable du traitement
B. Le sous-traitant
C. L'autorité de contrôle principale
D. Les autorités de contrôle concernées"	C					A
"Question : Selon l'article 4, dans quels cas une autorité de surveillance peut-elle refuser de répondre à une demande d'assistance mutuelle ?

A. Si la demande concerne un sujet non pertinent
B. Si la demande viole le règlement ou la législation applicable
C. Si l'autorité ne dispose pas des ressources nécessaires
D. Si l'autorité n'est pas compétente pour l'objet de la demande"	B					Flagged
"Question :
Dans quelles conditions un organisme de contrôle peut-il exercer ses pouvoirs d'enquête dans un autre État membre ?

A. Avec l'autorisation de l'autorité de contrôle du second État membre
B. Lorsque le responsable du traitement possède des établissements dans plusieurs États membres
C. Si le responsable du traitement a affecté un nombre important de personnes concernées dans plusieurs États membres
D. Toutes les réponses ci-dessus"	D					Flagged
"**Question :**

Selon le paragraphe 4, quelle entité est responsable des dommages causés par le personnel d'une autorité de surveillance détachée ?

A. L'État membre de l'autorité de surveillance détachante
B. L'État membre de l'autorité de surveillance d'accueil
C. L'Union européenne
D. La Commission européenne

**"	** B					Flagged
"**Question :**

Quelle mesure implique la communication d'un projet de décision au Conseil par l'autorité de contrôle compétente ?

**Choix :**

A. Adopter une liste de traitements nécessitant une analyse d'impact relative à la protection des données
B. Approuver les critères d'accréditation des organismes de certification
C. Autoriser les clauses contractuelles mentionnées à l'article 46(3)a)
D. Examiner les questions d'application générale soumises par les autorités de contrôle

**"	"**

A"					Flagged
"Question : Selon le texte, quel délai est fixé pour que le superviseur concerné informe la présidence du conseil de sa décision de suivre ou non l'avis du conseil ?
A. Une semaine
B. Deux semaines
C. Un mois
D. Aucun délai n'est précisé"	B					Flagged
"Question : Dans quels cas le Conseil des autorités de contrôle peut-il intervenir pour prendre une décision contraignante ?

A. Lorsqu'une autorité de contrôle compétente ne consulte pas le Conseil sur un avis rendu en vertu de l'article 64(1).
B. Lorsque des points de vue conflictuels émergent sur la compétence d'une autorité de contrôle pour l'établissement principal.
C. Lorsqu'une autorité de contrôle rejette une objection soulevée par une autorité de contrôle concernée.
D. Toutes les réponses ci-dessus."	D					Flagged
"Question : Quel est le délai imparti au Conseil pour adopter une opinion ou une décision contraignante urgente ?
A. Trois mois
B. Deux semaines
C. Un mois
D. Une semaine"	B					Flagged
"**Question :**

Quel organisme a le droit de participer aux activités du Conseil européen de la protection des données, mais sans droit de vote ?

**A.** Les autorités nationales de protection des données
**B.** L'autorité européenne de protection des données
**C.** La Commission européenne
**D.** Le Conseil de l'Union européenne

**"	C**					Flagged
"Question : Quelle est la mission de l'autorité de contrôle mentionnée dans le texte ?
A. Échanger des informations entre les contrôleurs, les processeurs et les autorités de surveillance
B. Effacer des liens, des copies ou des réplications de données personnelles
C. Appliquer le règlement sur la protection des données de manière cohérente
D. Déterminer le moment où une violation de données personnelles doit être notifiée"	C					Flagged
"Question : Parmi les missions du Comité européen de la protection des données, laquelle consiste à donner des avis sur les projets de décisions des autorités de contrôle ?

A. (t)
B. (u)
C. (v)
D. (w)"	A					Flagged
"**Question :**

Quel est le rôle du secrétariat du conseil ?

**A.** Fournir des instructions au président du conseil
**B.** Exécuter les tâches sous la direction du président du conseil
**C.** Adopter les règles de procédure du conseil
**D.** Gérer les arrangements opérationnels du conseil

**"	B**					Flagged
"**Question :**

Selon l'article 77, quelle est l'une des conditions pour déposer une plainte auprès d'une autorité de contrôle ?

A. Être un résident de l'UE
B. Avoir subi une violation présumée du RGPD
C. Avoir plus de 18 ans
D. Avoir un intérêt légitime

**"	** B					B
"**Question :**

Selon le texte, où peuvent être portées les procédures contre un responsable du traitement ou un sous-traitant ?

**A.** Uniquement devant les tribunaux de l'État membre où le responsable du traitement ou le sous-traitant a un établissement
**B.** Uniquement devant les tribunaux de l'État membre où la personne concernée a sa résidence habituelle
**C.** Devant les tribunaux de l'État membre où le responsable du traitement ou le sous-traitant a un établissement ou devant les tribunaux de l'État membre où la personne concernée a sa résidence habituelle
**D.** Devant n'importe quel tribunal de l'Union européenne

**"	C**					C
"Question : Dans quel cas un tribunal compétent peut-il suspendre ses procédures ?
A. Lorsqu'il a connaissance de procédures similaires en cours dans un autre État membre concernant le même sujet.
B. Lorsqu'il a jugé que les droits d'une personne concernée ont été violés.
C. Lorsqu'il estime que le responsable du traitement est exempt de responsabilité.
D. Lorsqu'il reçoit une demande d'une partie dans une procédure similaire dans un autre État membre."	A					A
"Question : Qui est tenu responsable des dommages causés par le traitement des données ?
A. Seul le contrôleur ou le sous-traitant directement responsable du traitement.
B. Seul le contrôleur ou le sous-traitant qui a payé l'intégralité de l'indemnisation.
C. Tous les contrôleurs et sous-traitants impliqués dans le traitement, proportionnellement à leur part de responsabilité.
D. Aucune des réponses ci-dessus n'est correcte."	C					C
"Question : Lequel des éléments suivants est pris en compte lors de la détermination du montant de l'amende administrative en cas de violation du RGPD ?

A. La gravité de la violation
B. Le chiffre d'affaires mondial de l'entreprise
C. Le nombre de personnes concernées
D. La réputation de l'entreprise"	A					A
"Question : Quelle est la sanction minimale encourue pour les violations des obligations suivantes : (a), (b), (c), (d) et (e) ?
A. 20 000 000 EUR
B. 4 % du chiffre d'affaires annuel mondial
C. La plus élevée entre A et B
D. La plus basse entre A et B"	C					D
"**Question :**

Selon le texte, qui a le pouvoir d'imposer des amendes administratives ?

A. La Commission européenne
B. Les autorités de contrôle compétentes
C. Les tribunaux nationaux compétents
D. Les États membres

**"	** C					B
"**Question :**

Quel article de la loi permet aux États membres de définir des conditions spécifiques pour le traitement d'un numéro d'identification national ?

**A.** Article 85
**B.** Article 86
**C.** Article 87
**D.** Article 88

**"	** C					B
"Question : Selon le texte, laquelle des mesures suivantes n'est PAS mentionnée comme une mesure de protection pour les droits des personnes concernées ?

A. Transparence du traitement
B. Limitation du traitement des données
C. Transfert des données personnelles au sein d'un groupe d'entreprises
D. Pseudonymisation"	B					C
"Question : Quel article permet aux États membres d'adopter des règles spécifiques pour les contrôleurs et sous-traitants soumis à une obligation de secret professionnel ?
A. Article 15
B. Article 58(1)
C. Article 89
D. Article 90"	D					B
"Question :
Quel est le délai pendant lequel le Parlement européen et le Conseil peuvent s'opposer à une proposition de la Commission ?

A. 1 mois
B. 3 mois
C. 6 mois
D. 9 mois"	B					B
"Question : À quelle fréquence la Commission soumet-elle un rapport sur l'évaluation et la révision du règlement ?

A. Tous les deux ans
B. Tous les trois ans
C. Tous les quatre ans
D. Tous les cinq ans"	C					A
"Question : À partir de quelle date le règlement est-il applicable ?
A. 27 avril 2016
B. 15 mai 2018
C. 25 mai 2018
D. 20 jours après sa publication au Journal officiel de l'Union européenne"	C					C
"Question : Parmi les failles de sécurité énumérées dans le texte, laquelle concerne la longueur insuffisante des identifiants de session ?
A. CWE-5
B. CWE-6
C. CWE-7
D. CWE-8"	B					A
"Question : Parmi ces éléments, lequel correspond à une erreur de validation de saisie incorrecte ?
A. CWE-19
B. CWE-20
C. CWE-21
D. CWE-22"	B					C
"**Question :**

Lequel des éléments suivants est un type d'attaque de parcours de chemin ?

**A.** Path Traversal: '...' (Triple Dot)
**B.** Improper Resolution of Path Equivalence
**C.** Path Equivalence: 'filename.' (Trailing Dot)
**D.** CWE-34: Path Traversal: '....//'

**"	** A					A
"**Question :**

Laquelle des affirmations suivantes est une vulnérabilité CWE classée dans la catégorie ""Path Equivalence"" ?

**A.** Nom de fichier avec un espace à la fin
**B.** Nom de fichier avec un espace au début
**C.** Manipulation incorrecte d'une résolution de lien
**D.** Toutes les affirmations ci-dessus

**"	** D					Flagged
"Question : Quelle vulnérabilité concerne le suivi des liens symboliques sous Unix ?
A. CWE-60
B. CWE-61
C. CWE-62
D. CWE-63"	B					Flagged
"Question : Laquelle des vulnérabilités suivantes est liée à l'injection de commandes dans un système d'exploitation ?
A. CWE-74
B. CWE-75
C. CWE-78
D. CWE-82"	C					C
"Question : Parmi les vulnérabilités CWE énumérées, laquelle concerne les attaques par injection SQL ?
A. CWE-87
B. CWE-89
C. CWE-91
D. CWE-95"	B					Flagged
"Question : Laquelle des vulnérabilités suivantes concerne l'absence d'un validateur pour un champ de formulaire dans Struts ?
A. CWE-102
B. CWE-104
C. CWE-105
D. CWE-107"	C					Flagged
"Question : Quelle vulnérabilité CWE concerne l'encodage ou l'échappement incorrect de la sortie ?
A. CWE-118
B. CWE-116
C. CWE-122
D. CWE-125"	B					Flagged
"Quelle vulnérabilité peut survenir lorsqu'une validation incorrecte d'un index de tableau est effectuée ?
A. CWE-130
B. CWE-131
C. CWE-129
D. CWE-132"	C					A
"Question : Laquelle de ces vulnérabilités concerne la neutralisation incorrecte des délimiteurs d'entrée ?
A. CWE-143
B. CWE-144
C. CWE-145
D. CWE-147"	D					A
"Quelle faille de sécurité est liée à la mauvaise neutralisation des éléments spéciaux internes ?

A. CWE-162
B. CWE-164
C. CWE-166
D. CWE-169"	B					C
"Question : Parmi les éléments suivants, lequel n'est PAS une faiblesse CWE liée à la gestion de l'encodage ?
A. CWE-173
B. CWE-176
C. CWE-1001
D. CWE-178"	C					C
"Question : Parmi les CWE suivants, lequel concerne des expressions régulières trop restrictives ?
A. CWE-187
B. CWE-188
C. CWE-186
D. CWE-190"	C					B
"Question : Quelle faille CWE concerne l'exposition d'informations via les données envoyées ?
A. CWE-200
B. CWE-201
C. CWE-202
D. CWE-203"	B					B
"Question : Quelle faiblesse de sécurité CWE est liée à l'exposition d'informations sensibles dans les données de débogage ?
A. CWE-215
B. CWE-216
C. CWE-217
D. CWE-218"	A					A
"Question : Laquelle des failles CWE suivantes concerne le traitement incorrect de valeurs manquantes ?
A. CWE-230
B. CWE-231
C. CWE-232
D. CWE-235"	A					B
"Question : Quelle vulnérabilité est liée à une mauvaise gestion des connexions J2EE ?
A. CWE-243
B. CWE-245
C. CWE-247
D. CWE-251"	B					A
"Question : Laquelle des faiblesses de sécurité suivantes est liée à l'utilisation de mots de passe faibles ?
A. CWE-258
B. CWE-259
C. CWE-261
D. CWE-264"	C					A
"Question : Quelle vulnérabilité concerne les privilèges insuffisants ?
A. CWE-272
B. CWE-273
C. CWE-274
D. CWE-275"	C					A
"**Question :** Quel type de vulnérabilité CWE correspond à une authentification incorrecte ?

**A.** 285
**B.** 286
**C.** 287
**D.** 296

**"	** C					B
"**Question :** Laquelle des vulnérabilités suivantes se réfère à une authentification contournée par une faiblesse primaire ?

**A.** CWE-301
**B.** CWE-302
**C.** CWE-304
**D.** CWE-307

**"	** B					A
"Question : Quelle faiblesse concerne le stockage d'informations sensibles en texte brut dans un cookie ?
A. CWE-313
B. CWE-314
C. CWE-315
D. CWE-316"	C					B
"Question :
Laquelle des faiblesses suivantes concerne l'utilisation d'une valeur IV non aléatoire avec le mode CBC ?
A. CWE-327
B. CWE-329
C. CWE-332
D. CWE-340"	B					A
"Question : Laquelle des faiblesses de sécurité suivantes est liée à l'utilisation de valeurs immuables dans un contexte dynamique ?
A. CWE-341
B. CWE-342
C. CWE-343
D. CWE-344"	D					A
"Question : Lequel des éléments suivants NE fait PAS partie des types de failles de sécurité liées à l'interface utilisateur (UI) ?
A. CWE-355
B. CWE-356
C. CWE-359
D. CWE-357"	C					C
"Question : Quelle faille concerne la distinction incomplète de l'état interne ?
A. CWE-368
B. CWE-371
C. CWE-372
D. CWE-374"	C					Flagged
"**Question :**

Quel choix correspond à ""J2EE Bad Practices: Direct Use of Threads"" ?

A. CWE-382
B. CWE-383
C. CWE-384
D. CWE-385

**"	** B					A
"Question : Laquelle des failles CWE suivantes est liée aux erreurs de gestion des ressources ?
A. CWE-395
B. CWE-399
C. CWE-405
D. CWE-410"	B					Flagged
"Question : Parmi les vulnérabilités suivantes, laquelle concerne les problèmes de verrouillage des ressources ?

A. CWE-411
B. CWE-412
C. CWE-418
D. CWE-422"	A					Flagged
"Question :  Quel type de vulnérabilité est lié au fait de ne pas mettre de guillemets autour du chemin de recherche ou de l'élément ?
A. Chemin de recherche non fiable
B. Chemin de recherche non protégé
C. Chemin de recherche non cité
D. Chemin de recherche non contrôlé"	C					Flagged
"**Question :**

Quel problème CWE est associé aux modifications de comportement dans une nouvelle version ou un nouvel environnement ?

A. CWE-439
B. CWE-440
C. CWE-441
D. CWE-442

**"	** A					B
"**Question :**

Quel code CWE décrit l'initialisation incorrecte de variables ?

A. CWE-452
B. CWE-456
C. CWE-457
D. CWE-458

**"	** D					B
"**Question :** Quelle vulnérabilité CWE est liée à l'utilisation de l'opérateur sizeof() sur un type pointeur ?

A. CWE-466
B. CWE-467
C. CWE-468
D. CWE-469

**"	** B					A
"Question :
Quel numéro CWE est associé à l'utilisation d'un opérateur incorrect ?
A. 480
B. 481
C. 482
D. 483"	A					B
"Question : Parmi les choix suivants, quelle est la faille de sécurité décrite dans la ligne 718 du texte ?
A. Informations exposées via des fichiers de cache
B. Exposition des fichiers de vidage mémoire à une sphère de contrôle non autorisée
C. Informations exposées via des variables d'environnement
D. Exposition du référentiel CVS à une sphère de contrôle non autorisée"	B					B
"Question : Quel type de vulnérabilité permet l'exposition d'informations via les messages d'erreur d'exécution Java ?
A. CWE-536
B. CWE-537
C. CWE-539
D. CWE-542"	B					A
"Question :
Lequel des éléments suivants est un type de vulnérabilité de sécurité informatique ?

A. Informations divulguées par un message d'erreur de serveur
B. Erreurs de validation des entrées du framework
C. Utilisation d'une identité d'emprunt dans ASP.NET
D. Code inutilisé"	A					B
"Question :
Laquelle des vulnérabilités suivantes concerne une mauvaise implémentation de la méthode de finalisation dans un contexte multithread ?

A. CWE-566
B. CWE-567
C. CWE-568
D. CWE-570"	C					B
"Question : Laquelle des vulnérabilités CWE suivantes est liée à une mauvaise pratique J2EE consistant à stocker un objet non sérialisable dans la session ?
A. CWE-579
B. CWE-581
C. CWE-582
D. CWE-589"	A					B
"Question : Quel CWE est lié à une erreur de comparaison d'objet ?
A. CWE-593
B. CWE-595
C. CWE-597
D. CWE-599"	B					B
"Question : Laquelle des vulnérabilités suivantes est liée à l'exposition d'informations par le biais de commentaires ?
A. CWE-614
B. CWE-615
C. CWE-616
D. CWE-617"	B					B
"Quelle est la faille de sécurité décrite dans CWE-624 ?
A. Arguments de crochet de fonction non validés
B. Contrôle ActiveX non sécurisé marqué comme sûr pour le script
C. Erreur d'expression régulière exécutable
D. Interaction d'octet nul"	C					A
"Question : Laquelle des failles de sécurité suivantes est liée à l'utilisation de mots de passe ?
A. CWE-637
B. CWE-640
C. CWE-648
D. CWE-649"	B					A
"Question : Quelle vulnérabilité est décrite comme une neutralisation incorrecte des données dans les expressions XQuery ?
A. CWE-652
B. CWE-653
C. CWE-654
D. CWE-655"	A					B
"Quelle faiblesse concerne l'utilisation d'une fonction potentiellement dangereuse ?
A. CWE-666
B. CWE-672
C. CWE-676
D. CWE-679"	C					A
"Question : Laquelle des vulnérabilités suivantes est associée au code d'erreur CWE-687 ?
A. Débordement de tampon dû à un dépassement de capacité
B. Erreur de calcul
C. Appel de fonction avec une valeur d'argument incorrecte
D. Conditions d'autorisation insuffisantes pour la copie de ressources"	C					A
"Quelle vulnérabilité concerne l'utilisation de références ou de noms incorrectement résolus ?
A. CWE-695
B. CWE-702
C. CWE-706
D. CWE-708"	C					C
"Question : Quelle faille de sécurité est désignée par CWE-710 ?
A. Erreur d'attribution de propriété
B. Violation des normes de codage
C. Injection de code
D. Exécution de fichiers malveillants"	B					Flagged
"Question :
Quelle section du CERT C Secure Coding Standard est dédiée aux expressions (EXP) ?
A. Section 01
B. Section 02
C. Section 03
D. Section 04"	C					Flagged
"Question : Quelle section du CERT C Secure Coding concerne la gestion de la mémoire ?
A. Section 05
B. Section 06
C. Section 08
D. Section 11"	C					B
"Question : Laquelle des vulnérabilités suivantes concerne le fait de ne pas disposer d'une page d'erreur personnalisée ?
A. CWE-756
B. CWE-757
C. CWE-758
D. CWE-759"	A					Flagged
"Question : Parmi les éléments suivants, lequel fait référence à une vulnérabilité liée à l'utilisation de cookies sans validation ni vérification d'intégrité dans les décisions de sécurité ?
A. CWE-784
B. CWE-795
C. CWE-797
D. CWE-788"	A					Flagged
"Question : Quel CWE concerne les faiblesses de l'interaction entre les composants ?
A. CWE-800
B. CWE-801
C. CWE-802
D. CWE-803"	B					Flagged
"Question : Quelle vulnérabilité est classée dans la catégorie A9 du OWASP Top Ten 2010 ?
A. Cross-Site Request Forgery (CSRF)
B. Sécurité mal configurée
C. Stockage cryptographique non sécurisé
D. Redirections et renvois non validés"	D					Flagged
"Question : Laquelle des vulnérabilités suivantes est associée à l'utilisation d'un hachage de mot de passe au lieu du mot de passe pour l'authentification ?
A. CWE-829
B. CWE-830
C. CWE-836
D. CWE-840"	C					Flagged
"Question : Quel est le numéro de CWE correspondant à la section ""Expressions"" du CERT Java Secure Coding Standard ?
A. 844
B. 847
C. 848
D. 849"	B					Flagged
"**Question :** Lequel des codes CWE suivants fait référence aux faiblesses du Top 25 CWE/SANS de 2011 ?

A. CWE-860
B. CWE-900
C. CWE-629
D. CWE-1000

**"	** B					Flagged
"Question : Quelle entrée correspond au nom de la faiblesse ""Weaknesses in the 2009 CWE/SANS Top 25 Most Dangerous Programming Errors"" ?
A. CWE-700
B. CWE-750
C. CWE-800
D. CWE-900"	B					Flagged
"**Question :**

Quelle est la catégorie de faille à laquelle appartient CWE-4 ?

**A.** Failles de configuration J2EE
**B.** Failles liées à l'environnement .NET
**C.** Failles de configuration des technologies spécifiques
**D.** Failles du Top 10 OWASP 2004

**"	** C					Flagged
"**Question :**

Quelle est la description résumée de la CWE-6 mentionnée dans le texte ?

**A.** Configuration réseau insuffisante dans les applications J2EE
**B.** Longueur d'ID de session insuffisante dans les applications J2EE
**C.** Transmission non chiffrée d'informations sensibles
**D.** Manque de configuration de sécurité pour les applications J2EE

**"	** B					Flagged
"Quelle est la longueur recommandée pour l'identifiant de session (ID) dans les applications web Java ?
A. 8 octets
B. 16 octets
C. 32 octets
D. 64 octets"	B					Flagged
"**Question :**

Selon le texte, avec un identifiant de session de 128 bits fournissant 64 bits d'entropie, combien de temps un attaquant pourrait-il prendre pour deviner un identifiant de session valide ?

**A.** Moins de 4 minutes
**B.** Environ 292 ans
**C.** Environ 4 minutes
**D.** Plus de 292 ans

**"	B**					Flagged
"**Question :**

Selon le texte, quelle est une conséquence possible de la falsification d'identifiants de session ?

A. Altération de la confidentialité
B. Interception de messages
C. Injection de code
D. Déni de service

**"	** A					A
"Question : Quel avantage offre l'utilisation d'une page d'erreur par défaut ?

A. Elle masque les messages d'erreur sensibles aux attaquants.
B. Elle enregistre les messages d'erreur dans un fichier journal.
C. Elle empêche les codes d'erreur HTTP standard d'être affichés.
D. Elle réduit le nombre d'exceptions pouvant être levées par l'application."	A					A
"Quelle est la meilleure pratique recommandée pour les beans Java ?

A. Déclarer les beans ""remotes""
B. Déclarer les beans ""locaux"" si possible
C. Exposer des informations sensibles
D. Ne pas valider les données modifiées"	B					B
"Question : Prêter des droits d'accès aux méthodes EJB au rôle EVERYONE est :
A. Recommandé
B. Déconseillé
C. Indifférent
D. Obligatoire"	B					B
"Question : Dans quelle condition les fichiers binaires de débogage ne doivent-ils pas être utilisés ?

A. Environnement de production
B. Environnement de développement
C. Environnement de test
D. Environnement de préproduction"	A					A
"Question : Selon le texte, quel est le paramètre approprié pour le mode d'erreur personnalisé dans le fichier web.config pour protéger contre les attaques ?
A. Off
B. On
C. RemoteOnly
D. OffOnly"	C					B
"Question : Quel attribut du tag `<customErrors>` permet de définir si les pages d'erreur personnalisées ou par défaut sont utilisées ?
A. child
B. mode
C. name
D. default"	B					B
"Question : Quel est le titre du texte ?

A. Asp.net Environment Issues
B. Securing Configuration Strings
C. Compiler Removal of Code to Clear Buffers
D. Pernicious Kingdoms"	C					D
"Question : Quel est le problème avec le code C fourni dans l'exemple ?

A. L'appel à memset() n'effacera pas correctement le mot de passe de la mémoire.
B. Le code est vulnérable à une attaque par accès mémoire si le mot de passe n'est pas effacé.
C. L'appel à memset() sera supprimé par un compilateur optimisant, laissant le mot de passe en mémoire.
D. Le code est sensible à une fuite de mémoire si le mot de passe n'est pas effacé."	C					A
"**Question :** Quelle est l'une des méthodes d'atténuation potentielles décrites dans le texte ?

A. Utilisation d'une mémoire ""volatile"" pour stocker les données sensibles
B. Désactivation de la suppression des magasins morts dans le compilateur
C. Cryptage des données sensibles utilisées par le système logiciel
D. Séparation des ressources avec lesquelles l'application interagit

**"	** A					C
"Quelle est la fonction du code C suivant, identifié comme vulnérable dans le texte ?

A. Afficher le numéro d'hôte de la machine actuelle
B. Définir le numéro d'hôte de la machine actuelle
C. Obtenir le numéro d'hôte de la machine actuelle
D. Modifier le numéro de port de la machine actuelle"	B					C
"Question : Selon le texte, quelles valeurs ne doivent pas être contrôlées par un attaquant ?

A. Valeurs sensibles fournies par l'utilisateur
B. Valeurs de contrôle du système
C. Valeurs de configuration du logiciel
D. Valeurs d'environnement"	A					B
"**Question :**

Quelle est la relation de type ""ChildOf"" de la catégorie CWE-18 ?

**A.** CWE-17
**B.** CWE-19
**C.** CWE-20
**D.** CWE-361

**"	A**					A
"Question : Quel type d'attaque est associé au schéma d'attaque CAPEC-ID 99 ?
A. Attaque du parseur XML
B. Dépassement de tampon
C. Validation d'entrée incorrecte
D. Exécution de code arbitraire"	A					A
"Question : Quelles sont les conséquences courantes d'une validation d'entrée incorrecte, comme décrit dans le texte ?
A. Intégrité uniquement
B. Confidentialité et disponibilité
C. Disponibilité uniquement
D. Confidentialité uniquement"	B					B
"Question : Quelle vulnérabilité de sécurité est décrite dans l'exemple 2 ?
A. Validation incorrecte des entrées
B. Débordement d'entier
C. Attaque par épuisement des ressources
D. Allocation de mémoire insuffisante"	C					A
"Question : Quelles sont les conséquences potentielles de la validation d'entrée incorrecte dans une application Web ?

A. Attaque XSS et injection SQL
B. Mauvais fonctionnement et plantage du système
C. Déni de service et vol d'informations
D. Toutes les réponses ci-dessus"	D					Flagged
"Question : Laquelle des vulnérabilités suivantes résulte d'une validation insuffisante des entrées d'un IOCTL ?
A. CVE-2008-1625
B. CVE-2008-1738
C. CVE-2008-2223
D. CVE-2008-3174"	A					A
